names,scores,logfoldchanges,pvals,pvals_adj
B2M,34.13365,,2.3377132985047574e-255,5.075409342383679e-251
PSAP,32.803062,,5.325119092952156e-236,5.780683031354213e-232
DUSP1,29.417929,inf,3.239288067382536e-190,2.344272774364741e-186
RGS2,29.34609,inf,2.6803448980160215e-189,1.454824202020646e-185
HLA-C,29.006866,,5.3900585978657996e-185,2.3404712443652875e-181
MNDA,27.720585,611.65295,3.9439449322531944e-169,1.2232426917735586e-165
FCER1G,27.66608,,1.7878500628058062e-168,4.852001589197107e-165
FOS,27.439512,,9.268445495834663e-166,2.235858001778515e-162
XIST,27.269348,41.97732,9.799798310877891e-164,2.127634211274699e-160
CTSS,26.72533,inf,2.390350261612822e-157,4.7178995027159975e-154
CD68,26.391954,inf,1.6948648705986383e-153,3.0664342671305865e-150
SERPINA1,26.260069,inf,5.485197429288218e-152,9.160701645175116e-149
NPC2,26.115566,inf,2.4268264762125767e-150,3.763487830360803e-147
S100A9,26.058334,inf,1.0823974185719535e-149,1.5666620236410453e-146
SRGN,24.670605,,2.212230413381969e-134,3.0018584065584955e-131
TMSB4X,24.51759,,9.591563904816222e-133,1.2249555525733236e-129
OAZ1,24.280426,,3.156135595321317e-130,3.806825550556729e-127
FCN1,24.273262,inf,3.756906555753881e-130,4.292957801682763e-127
EVI2B,23.918634,662.47644,1.960064307732652e-126,2.0264264850087432e-123
ARPC1B,23.39709,,4.575065206938157e-121,4.514965486719742e-118
CALM2,22.98551,,6.508337492112371e-117,6.143587621358769e-114
SAT1,22.78886,,5.913571009847623e-115,5.349564174783406e-112
CFP,22.664352,inf,1.007173608341078e-113,8.746698484277258e-111
FTL,22.27148,,6.985472270476032e-110,5.83313801785789e-107
LRRC25,22.16005,465.95255,8.345918486018121e-109,6.711045787034794e-106
AOAH,22.126825,339.38327,1.7443461589483285e-108,1.3525535520331127e-105
FTH1,22.110136,,2.5250449804955244e-108,1.8903879852254597e-105
ARHGDIB,22.036001,,1.3013362182582883e-107,9.417770211535232e-105
SELPLG,22.034134,407.5358,1.356130489695883e-107,9.49772550380236e-105
HLA-G,21.966124,37.408768,6.073559012712181e-107,4.1207199914060675e-104
ARPC2,21.642212,,7.196795144181214e-104,4.734836950767223e-101
SH3BGRL,21.529554,528.0573,8.231991667391134e-103,5.256610914433203e-100
IFITM3,21.470303,inf,2.9508957477658325e-102,1.8304827879926854e-99
SDCBP,21.191036,717.0275,1.1552775951947198e-99,6.967286630353489e-97
LILRB2,21.159159,159.8732,2.272396368254011e-99,1.333405339220617e-96
NADK,21.15138,143.372,2.679802441354122e-99,1.5310839685326145e-96
CASP1,20.903502,774.7073,4.975830172946304e-97,2.770006381662493e-94
